"Material","K","Sample","Type","T1","T2","T3","w1","w2","w3","Mean_Thickness_mm","Mean_Width_mm","Area_mm2","Dimension_Orientation"
"CF-PETG",80,1,"Original",1.991,1.996,1.983,4.191,4.208,4.163,1.99,4.18733333333333,8.33279333333333,"Flat"
"CF-PETG",80,2,"Testing 1",1.985,1.99,1.979,4.185,4.201,4.158,1.98466666666667,4.18133333333333,8.29855288888889,"Flat"
"CF-PETG",80,3,"Testing 2",1.995,2.001,1.988,4.202,4.215,4.166,1.99466666666667,4.19433333333333,8.36629688888889,"Flat"
"CF-PETG",80,4,"Testing 3",2.002,1.994,1.981,4.194,4.198,4.172,1.99233333333333,4.188,8.343892,"Flat"
"CF-PETG",80,5,"Testing 4",1.988,1.988,1.986,4.188,4.205,4.159,1.98733333333333,4.184,8.31500266666667,"Flat"
"CF-PETG",80,6,"Testing 5",1.993,2.003,1.978,4.196,4.211,4.168,1.99133333333333,4.19166666666667,8.34700555555555,"Flat"
"CF-PETG",90,1,"Original",2.028,2.036,2.046,4.15,4.183,4.157,2.03666666666667,4.16333333333333,8.47932222222222,"Flat"
"CF-PETG",90,2,"Testing 1",2.022,2.031,2.039,4.142,4.176,4.151,2.03066666666667,4.15633333333333,8.44012755555556,"Flat"
"CF-PETG",90,3,"Testing 2",2.034,2.042,2.052,4.158,4.191,4.165,2.04266666666667,4.17133333333333,8.52064355555555,"Flat"
"CF-PETG",90,4,"Testing 3",2.025,2.029,2.048,4.155,4.18,4.16,2.034,4.165,8.47161,"Flat"
"CF-PETG",90,5,"Testing 4",2.031,2.038,2.041,4.147,4.188,4.152,2.03666666666667,4.16233333333333,8.47728555555556,"Flat"
"CF-PETG",90,6,"Testing 5",2.029,2.041,2.038,4.161,4.175,4.163,2.036,4.16633333333333,8.48265466666667,"Flat"
"CF-PETG",100,1,"Original",2.118,2.108,2.108,4.23,4.31,4.213,2.11133333333333,4.251,8.975278,"Flat"
"CF-PETG",100,2,"Testing 1",2.11,2.101,2.102,4.221,4.298,4.205,2.10433333333333,4.24133333333333,8.92517911111111,"Flat"
"CF-PETG",100,3,"Testing 2",2.125,2.115,2.116,4.241,4.321,4.222,2.11866666666667,4.26133333333333,9.02834488888889,"Flat"
"CF-PETG",100,4,"Testing 3",2.114,2.105,2.111,4.235,4.305,4.21,2.11,4.25,8.9675,"Flat"
"CF-PETG",100,5,"Testing 4",2.121,2.112,2.105,4.225,4.316,4.218,2.11266666666667,4.253,8.98517133333333,"Flat"
"CF-PETG",100,6,"Testing 5",2.116,2.104,2.114,4.238,4.302,4.208,2.11133333333333,4.24933333333333,8.97175911111111,"Flat"
"CF-PETG",110,1,"Original",2.114,2.136,2.128,4.28,4.29,4.286,2.126,4.28533333333333,9.11061866666667,"Flat"
"CF-PETG",110,2,"Testing 1",2.108,2.129,2.12,4.271,4.282,4.278,2.119,4.277,9.062963,"Flat"
"CF-PETG",110,3,"Testing 2",2.121,2.144,2.135,4.289,4.299,4.295,2.13333333333333,4.29433333333333,9.16124444444444,"Flat"
"CF-PETG",110,4,"Testing 3",2.111,2.132,2.125,4.285,4.286,4.282,2.12266666666667,4.28433333333333,9.09421155555556,"Flat"
"CF-PETG",110,5,"Testing 4",2.118,2.141,2.131,4.276,4.294,4.291,2.13,4.287,9.13131,"Flat"
"CF-PETG",110,6,"Testing 5",2.115,2.134,2.122,4.283,4.288,4.28,2.12366666666667,4.28366666666667,9.09708011111111,"Flat"
"PETG",80,1,"Original",1.921,1.917,1.913,4.127,4.107,4.126,1.917,4.12,7.89804,"Flat"
"PETG",80,2,"Testing 1",1.915,1.91,1.906,4.119,4.098,4.118,1.91033333333333,4.11166666666667,7.85465388888889,"Flat"
"PETG",80,3,"Testing 2",1.928,1.925,1.92,4.135,4.115,4.134,1.92433333333333,4.128,7.943648,"Flat"
"PETG",80,4,"Testing 3",1.924,1.914,1.917,4.122,4.111,4.121,1.91833333333333,4.118,7.89969666666667,"Flat"
"PETG",80,5,"Testing 4",1.918,1.921,1.909,4.131,4.102,4.129,1.916,4.12066666666667,7.89519733333333,"Flat"
"PETG",80,6,"Testing 5",1.923,1.912,1.915,4.129,4.11,4.124,1.91666666666667,4.121,7.89858333333333,"Flat"
"PETG",90,1,"Original",1.927,1.918,1.916,4.193,4.198,4.193,1.92033333333333,4.19466666666667,8.05515822222222,"Flat"
"PETG",90,2,"Testing 1",1.921,1.912,1.908,4.185,4.189,4.184,1.91366666666667,4.186,8.01060866666667,"Flat"
"PETG",90,3,"Testing 2",1.934,1.926,1.923,4.202,4.206,4.201,1.92766666666667,4.203,8.101983,"Flat"
"PETG",90,4,"Testing 3",1.924,1.915,1.919,4.198,4.193,4.197,1.91933333333333,4.196,8.05352266666667,"Flat"
"PETG",90,5,"Testing 4",1.931,1.922,1.912,4.189,4.204,4.188,1.92166666666667,4.19366666666667,8.05882944444444,"Flat"
"PETG",90,6,"Testing 5",1.929,1.916,1.918,4.195,4.196,4.191,1.921,4.194,8.056674,"Flat"
"PETG",100,1,"Original",1.937,1.93,1.928,4.254,4.257,4.245,1.93166666666667,4.252,8.21344666666667,"Flat"
"PETG",100,2,"Testing 1",1.93,1.922,1.921,4.245,4.248,4.237,1.92433333333333,4.24333333333333,8.16558777777778,"Flat"
"PETG",100,3,"Testing 2",1.944,1.937,1.936,4.263,4.265,4.254,1.939,4.26066666666667,8.26143266666667,"Flat"
"PETG",100,4,"Testing 3",1.933,1.928,1.932,4.259,4.251,4.241,1.931,4.25033333333333,8.20739366666667,"Flat"
"PETG",100,5,"Testing 4",1.941,1.934,1.924,4.249,4.262,4.249,1.933,4.25333333333333,8.22169333333333,"Flat"
"PETG",100,6,"Testing 5",1.939,1.926,1.931,4.256,4.254,4.243,1.932,4.251,8.212932,"Flat"
"PETG",110,1,"Original",1.947,1.95,1.95,4.207,4.204,4.197,1.949,4.20266666666667,8.19099733333333,"Flat"
"PETG",110,2,"Testing 1",1.94,1.942,1.943,4.198,4.195,4.188,1.94166666666667,4.19366666666667,8.14270277777778,"Flat"
"PETG",110,3,"Testing 2",1.954,1.957,1.958,4.216,4.213,4.206,1.95633333333333,4.21166666666667,8.23942388888889,"Flat"
"PETG",110,4,"Testing 3",1.943,1.946,1.953,4.211,4.208,4.193,1.94733333333333,4.204,8.18658933333333,"Flat"
"PETG",110,5,"Testing 4",1.951,1.954,1.945,4.203,4.2,4.201,1.95,4.20133333333333,8.1926,"Flat"
"PETG",110,6,"Testing 5",1.949,1.945,1.952,4.209,4.207,4.195,1.94866666666667,4.20366666666667,8.19154511111111,"Flat"
