"Time (s)","Load (N)","Machine Extension (mm)","Stress (MPa)","Extension from Preload (mm)","Strain","Percentage Strain","Gauge Length (mm)","Load_N","NEXYGEN_Stress_MPa","Percentage_Strain","Measured_Width_mm","Measured_Thickness_mm","Measured_Area_mm2","Recalculated_Stress_MPa","Stress_Difference_MPa","Stress_Difference_Percent","Material","Orientation","K","Sample","File"
0.237985,-0.03301,0.00036114,-0.0041262,-0.0034199,-0.0001368,-0.01368,24.997,-0.03301,-0.0041262,-0.01368,4.24133333333333,2.10433333333333,8.92517911111111,-0.00369852521602679,0.000427674783973212,-10.3648583193547,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
0.475971,-0.06657,0.00047712,-0.0083212,-0.0033039,-0.00013216,-0.013216,24.997,-0.06657,-0.0083212,-0.013216,4.24133333333333,2.10433333333333,8.92517911111111,-0.00745867384522579,0.000862526154774211,-10.3654058882638,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
0.713956,-0.10013,0.00059309,-0.012516,-0.0031879,-0.00012752,-0.012752,24.997,-0.10013,-0.012516,-0.012752,4.24133333333333,2.10433333333333,8.92517911111111,-0.0112188224744248,0.00129717752557521,-10.3641540873698,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
0.951941,0.44972,0.00070907,0.056215,-0.003072,-0.00012288,-0.012288,24.997,0.44972,0.056215,-0.012288,4.24133333333333,2.10433333333333,8.92517911111111,0.0503877843123771,-0.00582721568762293,-10.3659444767819,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
1.18993,2.1335,0.00082504,0.26669,-0.002956,-0.00011824,-0.011824,24.997,2.1335,0.26669,-0.011824,4.24133333333333,2.10433333333333,8.92517911111111,0.239042821823482,-0.0276471781765176,-10.3667847225309,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
1.42791,4.7025,0.0019766,0.58781,-0.0018044,-7.2176e-05,-0.0072176,24.998,4.7025,0.58781,-0.0072176,4.24133333333333,2.10433333333333,8.92517911111111,0.526880182622417,-0.0609298173775835,-10.3655632564236,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
1.6659,6.0644,0.0033286,0.75805,-0.0004524,-1.8096e-05,-0.0018096,25,6.0644,0.75805,-0.0018096,4.24133333333333,2.10433333333333,8.92517911111111,0.679470957893755,-0.078579042106245,-10.3659444767819,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
1.90388,7.2846,0.0045863,0.91057,0.00080523,3.2209e-05,0.0032209,25.001,7.2846,0.91057,0.0032209,4.24133333333333,2.10433333333333,8.92517911111111,0.816185301080544,-0.0943846989194564,-10.3654522902639,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
2.14187,8.7522,0.0058058,1.094,0.0020248,8.099e-05,0.008099,25.002,8.7522,1.094,0.008099,4.24133333333333,2.10433333333333,8.92517911111111,0.980618975937887,-0.113381024062113,-10.3638961665551,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
2.37985,10.425,0.0070253,1.3032,0.0032443,0.00012977,0.012977,25.003,10.425,1.3032,0.012977,4.24133333333333,2.10433333333333,8.92517911111111,1.16804378603694,-0.135156213963064,-10.3711029744524,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
2.61784,12.706,0.0082448,1.5883,0.0044638,0.00017855,0.017855,25.004,12.706,1.5883,0.017855,4.24133333333333,2.10433333333333,8.92517911111111,1.42361288684751,-0.164687113152488,-10.3687661746829,"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt"
