"Material","Orientation","K","Sample","File","Area_mm2","Mean_NEXYGEN_Stress_MPa","Mean_Recalculated_Stress_MPa","Mean_Stress_Difference_MPa","Mean_Stress_Difference_Percent"
"CF-PETG","Flat",80,1,"CF PETG 80%_1.txt",8.29855288888889,12.0958022724521,11.660632631389,-0.435169641063052,-3.59768592826915
"CF-PETG","Flat",80,2,"CF PETG 80%_2.txt",8.36629688888889,12.4762997401005,11.9300508230808,-0.546248917019714,-4.37819645177052
"CF-PETG","Flat",80,3,"CF PETG 80%_3.txt",8.343892,9.93146523987976,9.52215566572098,-0.409309574158782,-4.12133375254892
"CF-PETG","Flat",80,4,"CF PETG 80%_4.txt",8.31500266666667,12.8367157880282,12.3504236403561,-0.486292147672053,-3.78833341480012
"CF-PETG","Flat",80,5,"CF PETG 80%_5.txt",8.34700555555555,12.8467321907538,12.3126569134602,-0.534075277293604,-4.15728188479954
"CF-PETG","Flat",90,1,"CF PETG 90%_1.txt",8.44012755555556,12.5196881378931,11.8668440273936,-0.652844110499535,-5.21457506650864
"CF-PETG","Flat",90,2,"CF PETG 90%_2.txt",8.52064355555555,11.8705350215152,11.1451981179607,-0.725336903554428,-6.1104166308992
"CF-PETG","Flat",90,3,"CF PETG 90%_3.txt",8.47161,12.4847367519879,11.7897177072044,-0.695019044783503,-5.56696927581436
"CF-PETG","Flat",90,4,"CF PETG 90%_4.txt",8.47728555555556,13.2698416753061,12.5226916243135,-0.747150050992621,-5.63049248468752
"CF-PETG","Flat",90,5,"CF PETG 90%_5.txt",8.48265466666667,12.5864922904008,11.870341162749,-0.716151127651801,-5.68987632430119
"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt",8.92517911111111,12.7622721591837,11.4393510733912,-1.32292108579243,-10.3659852682849
"CF-PETG","Flat",100,2,"CF PETG 100%_2.txt",9.02834488888889,12.4206659196076,11.0059308492379,-1.4147350703698,-11.3902092388997
"CF-PETG","Flat",100,3,"CF PETG 100%_3.txt",8.9675,13.3023838987702,11.8672000346232,-1.43518386414692,-10.7889118615554
"CF-PETG","Flat",100,4,"CF PETG 100%_4.txt",8.98517133333333,12.6887690644869,11.2975318357642,-1.39123722872277,-10.9643430912336
"CF-PETG","Flat",100,5,"CF PETG 100%_5.txt",8.97175911111111,13.0326963049045,11.6210894208293,-1.41160688407527,-10.831285325299
"CF-PETG","Flat",110,1,"CF PETG 110%_1.txt",9.062963,12.7234589696486,11.2311785941397,-1.49228037550887,-11.7285681808094
"CF-PETG","Flat",110,2,"CF PETG 110%_2.txt",9.16124444444444,11.6292704508048,10.1551882558449,-1.47408219495989,-12.6756185819506
"CF-PETG","Flat",110,3,"CF PETG 110%_3.txt",9.09421155555556,12.4034403978979,10.9110682123953,-1.49237218550256,-12.0319188953809
"CF-PETG","Flat",110,4,"CF PETG 110%_4.txt",9.13131,13.4549945079477,11.7880122233691,-1.66698228457861,-12.3893019285027
"CF-PETG","Flat",110,5,"CF PETG 110%_5.txt",9.09708011111111,13.1586524170854,11.5717759068304,-1.58687651025506,-12.0595895578077
"PETG","Flat",80,1,"PETG 80%_1.txt",7.85465388888889,5.29106301275304,5.3889732555554,0.0979102428023591,1.8504677698798
"PETG","Flat",80,2,"PETG 80%_2.txt",7.943648,4.99593445353831,5.03137300093218,0.0354385473938689,0.709366765321435
"PETG","Flat",80,3,"PETG 80%_3.txt",7.89969666666667,5.03139659685223,5.09527921489676,0.063882618044531,1.26970768507453
"PETG","Flat",80,4,"PETG 80%_4.txt",7.89519733333333,4.93178756087174,4.99725402742849,0.0654664665567481,1.32743724553086
"PETG","Flat",80,5,"PETG 80%_5.txt",7.89858333333333,5.64398099345418,5.71644589218948,0.0724648987353041,1.28394824653789
"PETG","Flat",90,1,"PETG 90%_1.txt",8.01060866666667,5.36834629376258,5.36123574326657,-0.00711055049600118,-0.132390804682103
"PETG","Flat",90,2,"PETG 90%_2.txt",8.101983,5.07124259346309,5.00740868657207,-0.0638339068910229,-1.25877461991874
"PETG","Flat",90,3,"PETG 90%_3.txt",8.05352266666667,5.05296837729376,5.01938571643352,-0.0335826608602443,-0.664634706587324
"PETG","Flat",90,4,"PETG 90%_4.txt",8.05882944444444,5.60228568177241,5.56138266601004,-0.0409030157623662,-0.730072419384876
"PETG","Flat",90,5,"PETG 90%_5.txt",8.056674,5.53695226227062,5.49800383785032,-0.0389484244203077,-0.703433826698855
"PETG","Flat",100,1,"PETG 100%_1.txt",8.16558777777778,5.50115881734469,5.38960400426256,-0.111554813082128,-2.02785587371585
"PETG","Flat",100,2,"PETG 100%_2.txt",8.26143266666667,5.64625930332998,5.46758035843316,-0.178678944896825,-3.16467930190899
"PETG","Flat",100,3,"PETG 100%_3.txt",8.20739366666667,5.50185542300403,5.362829160524,-0.139026262480033,-2.52693102341852
"PETG","Flat",100,4,"PETG 100%_4.txt",8.22169333333333,5.44477230255533,5.29795790644974,-0.146814396105594,-2.696421978016
"PETG","Flat",100,5,"PETG 100%_5.txt",8.212932,5.21932520283988,5.08401268157172,-0.135312521268158,-2.59256489972089
"PETG","Flat",110,1,"PETG 110%_1.txt",8.14270277777778,6.23921664909457,6.12987760855069,-0.109339040543878,-1.75247362631808
"PETG","Flat",110,2,"PETG 110%_2.txt",8.23942388888889,5.30905346852376,5.15478156480246,-0.154271903721304,-2.9058773821915
"PETG","Flat",110,3,"PETG 110%_3.txt",8.18658933333333,5.41474163613682,5.2913243603571,-0.123417275779723,-2.27926555724637
"PETG","Flat",110,4,"PETG 110%_4.txt",8.1926,5.45822604283702,5.32990815458874,-0.128317888248284,-2.35092872576669
"PETG","Flat",110,5,"PETG 110%_5.txt",8.19154511111111,5.62071500503525,5.48928201933859,-0.131432985696657,-2.3383310320256
