"Material","Orientation","K","Sample","File","Measured_Area_mm2","Youngs_Modulus_GPa","R2","Number_of_Points","Valid","Reason"
"CF-PETG","Flat",80,1,"CF PETG 80%_1.txt",8.29855288888889,4.73624248407916,0.999720998797834,376,TRUE,"Valid"
"CF-PETG","Flat",80,2,"CF PETG 80%_2.txt",8.36629688888889,4.77107952239594,0.99982605823796,363,TRUE,"Valid"
"CF-PETG","Flat",80,3,"CF PETG 80%_3.txt",8.343892,3.9416592819487,0.998949991805816,378,TRUE,"Valid"
"CF-PETG","Flat",80,4,"CF PETG 80%_4.txt",8.31500266666667,5.04809428014101,0.999790881705995,372,TRUE,"Valid"
"CF-PETG","Flat",80,5,"CF PETG 80%_5.txt",8.34700555555555,4.81318790091083,0.999672455076045,357,TRUE,"Valid"
"CF-PETG","Flat",90,1,"CF PETG 90%_1.txt",8.44012755555556,4.7300687897665,0.999693272736604,366,TRUE,"Valid"
"CF-PETG","Flat",90,2,"CF PETG 90%_2.txt",8.52064355555555,4.35949478252935,0.998912705104328,349,TRUE,"Valid"
"CF-PETG","Flat",90,3,"CF PETG 90%_3.txt",8.47161,4.6211919556338,0.999840324750228,351,TRUE,"Valid"
"CF-PETG","Flat",90,4,"CF PETG 90%_4.txt",8.47728555555556,4.91485231809933,0.999111381936925,34,TRUE,"Valid"
"CF-PETG","Flat",90,5,"CF PETG 90%_5.txt",8.48265466666667,5.45887878022367,0.998242393403368,392,TRUE,"Valid"
"CF-PETG","Flat",100,1,"CF PETG 100%_1.txt",8.92517911111111,4.6019723664788,0.999909736092498,36,TRUE,"Valid"
"CF-PETG","Flat",100,2,"CF PETG 100%_2.txt",9.02834488888889,4.4957894188072,0.999965693347881,358,TRUE,"Valid"
"CF-PETG","Flat",100,3,"CF PETG 100%_3.txt",8.9675,4.76930807319694,0.999740582705697,367,TRUE,"Valid"
"CF-PETG","Flat",100,4,"CF PETG 100%_4.txt",8.98517133333333,4.55547948623341,0.99988200182543,355,TRUE,"Valid"
"CF-PETG","Flat",100,5,"CF PETG 100%_5.txt",8.97175911111111,4.66279019325773,0.999357040771505,358,TRUE,"Valid"
"CF-PETG","Flat",110,1,"CF PETG 110%_1.txt",9.062963,4.37971354661853,0.995822574019047,336,TRUE,"Valid"
"CF-PETG","Flat",110,2,"CF PETG 110%_2.txt",9.16124444444444,4.00075019517005,0.998022730580228,337,TRUE,"Valid"
"CF-PETG","Flat",110,3,"CF PETG 110%_3.txt",9.09421155555556,4.38813774005603,0.999531208945874,351,TRUE,"Valid"
"CF-PETG","Flat",110,4,"CF PETG 110%_4.txt",9.13131,4.64251525206012,0.999876231307088,361,TRUE,"Valid"
"CF-PETG","Flat",110,5,"CF PETG 110%_5.txt",9.09708011111111,4.60305901476103,0.999574529824878,361,TRUE,"Valid"
"PETG","Flat",80,1,"PETG 80%_1.txt",7.85465388888889,2.07296417198829,0.999602193809277,335,TRUE,"Valid"
"PETG","Flat",80,2,"PETG 80%_2.txt",7.943648,2.01870203252871,0.999471435169355,329,TRUE,"Valid"
"PETG","Flat",80,3,"PETG 80%_3.txt",7.89969666666667,1.97969948964022,0.99950567967429,324,TRUE,"Valid"
"PETG","Flat",80,4,"PETG 80%_4.txt",7.89519733333333,1.88619550506128,0.999983296891295,343,TRUE,"Valid"
"PETG","Flat",80,5,"PETG 80%_5.txt",7.89858333333333,2.43153880239174,0.990985146111153,380,TRUE,"Valid"
"PETG","Flat",90,1,"PETG 90%_1.txt",8.01060866666667,2.05458620738835,0.999652889465268,341,TRUE,"Valid"
"PETG","Flat",90,2,"PETG 90%_2.txt",8.101983,1.91421657712707,0.998940300286673,327,TRUE,"Valid"
"PETG","Flat",90,3,"PETG 90%_3.txt",8.05352266666667,1.8553142114889,0.995885809765222,315,TRUE,"Valid"
"PETG","Flat",90,4,"PETG 90%_4.txt",8.05882944444444,2.2155304100085,0.999595621556507,349,TRUE,"Valid"
"PETG","Flat",90,5,"PETG 90%_5.txt",8.056674,2.20084198276708,0.999227749697958,346,TRUE,"Valid"
"PETG","Flat",100,1,"PETG 100%_1.txt",8.16558777777778,2.13334475146049,0.999894309802229,334,TRUE,"Valid"
"PETG","Flat",100,2,"PETG 100%_2.txt",8.26143266666667,2.19656348455415,0.99902734961575,341,TRUE,"Valid"
"PETG","Flat",100,3,"PETG 100%_3.txt",8.20739366666667,2.21977088042261,0.999614328038838,340,TRUE,"Valid"
"PETG","Flat",100,4,"PETG 100%_4.txt",8.22169333333333,2.07429733824609,0.999736811960582,334,TRUE,"Valid"
"PETG","Flat",100,5,"PETG 100%_5.txt",8.212932,2.04951412589427,0.999687960643474,330,TRUE,"Valid"
"PETG","Flat",110,1,"PETG 110%_1.txt",8.14270277777778,2.48789772176675,0.99940479631692,360,TRUE,"Valid"
"PETG","Flat",110,2,"PETG 110%_2.txt",8.23942388888889,1.95153761149317,0.999221938472193,333,TRUE,"Valid"
"PETG","Flat",110,3,"PETG 110%_3.txt",8.18658933333333,2.11124230636231,0.99971184335422,338,TRUE,"Valid"
"PETG","Flat",110,4,"PETG 110%_4.txt",8.1926,2.0494039292281,0.999127937442497,338,TRUE,"Valid"
"PETG","Flat",110,5,"PETG 110%_5.txt",8.19154511111111,2.18147907169307,0.999661689733241,335,TRUE,"Valid"
