material,flow,sample,modulus_GPa,tensile_strength_MPa,maximum_strain_pct
CF PETG,80,1,6.070393470824845,29.805,0.5103067462698231
CF PETG,80,2,5.284670984715895,26.193,0.5126960236485429
CF PETG,80,3,6.135551990686782,30.29,0.5100830848664849
CF PETG,80,4,5.808455391467607,28.68,0.5204562774620768
CF PETG,80,5,5.837244179199788,28.897,0.5054701196889283
CF PETG,90,1,6.45917137496644,32.199,0.5134634627807964
CF PETG,90,2,6.261669845738639,31.007,0.5106972825814049
CF PETG,90,3,6.700498369770595,33.377,0.5055451751425475
CF PETG,90,4,6.328882790285989,31.109,0.5075361772564642
CF PETG,90,5,6.014815947696959,28.717,0.49119902784257646
CF PETG,100,1,5.86552566053049,30.134,0.5143569125844225
CF PETG,100,2,6.717800964415959,33.542,0.5101150495510799
CF PETG,100,3,6.0516241009303675,29.339,0.49741947339423415
CF PETG,100,4,6.3779739912192905,32.896,0.5178377501805361
CF PETG,100,5,6.440343527530146,33.173,0.5213535769084823
CF PETG,110,1,6.484954612928382,33.129,0.518951049144417
CF PETG,110,2,6.537931405955918,32.066,0.5026956526748031
CF PETG,110,3,7.166049816045148,35.218,0.49829889028361746
CF PETG,110,4,6.476861885485496,31.922,0.517136611324247
CF PETG,110,5,6.145463072860837,31.235,0.5155139749628245
PETG,80,1,2.1032750880176,10.952,0.5351200846627221
PETG,80,2,2.0086159684168545,10.375,0.5267297578612665
PETG,80,3,2.12288912987746,11.132,0.5295891769460885
PETG,80,4,1.6544425914008574,9.1394,0.5224920708824389
PETG,80,5,1.7800936671364573,10.105,0.5379588063727951
PETG,90,1,2.1605056156021836,11.219,0.525287996695084
PETG,90,2,1.950529238586814,10.83,0.5442830360289436
PETG,90,3,1.6638202756142562,9.6925,0.5425786139751798
PETG,90,4,1.9442681468528755,10.639,0.540044888454446
PETG,90,5,2.204252142117206,11.682,0.5295107502615566
PETG,100,1,1.9455624898215231,10.606,0.5360915409732121
PETG,100,2,2.2325643980798193,11.602,0.5286577184605316
PETG,100,3,1.8692516401936565,10.534,0.531573235901968
PETG,100,4,2.2250769712602083,11.314,0.5142023813135121
PETG,100,5,1.8942676625008266,10.619,0.527780047013996
PETG,110,1,5.142966998108718,7.8022,0.08151177954126132
PETG,110,2,2.2590814977588454,12.144,0.5350894605072399
PETG,110,3,2.3684337095191363,12.097,0.5188650390716363
PETG,110,4,1.8427402774227313,10.663,0.539032303230598
PETG,110,5,2.114367452279014,11.364,0.5279721730672946
