"File","Material","Orientation","K","Sample","Youngs_Modulus_GPa","R2","Number_of_Points","Valid","Reason"
"CF PETG 80%_1.txt","CF-PETG","Flat",80,1,4.91298014606413,0.999720998018978,376,TRUE,"Valid"
"CF PETG 80%_2.txt","CF-PETG","Flat",80,2,4.98954215488419,0.999826072282589,363,TRUE,"Valid"
"CF PETG 80%_3.txt","CF-PETG","Flat",80,3,4.11110929787363,0.998950133425136,378,TRUE,"Valid"
"CF PETG 80%_4.txt","CF-PETG","Flat",80,4,5.2468773106141,0.999791010045448,372,TRUE,"Valid"
"CF PETG 80%_5.txt","CF-PETG","Flat",80,5,5.0220137810403,0.999672237444141,357,TRUE,"Valid"
"CF PETG 90%_1.txt","CF-PETG","Flat",90,1,4.99029671843487,0.999693168136408,366,TRUE,"Valid"
"CF PETG 90%_2.txt","CF-PETG","Flat",90,2,4.6432271452701,0.998912457779354,349,TRUE,"Valid"
"CF PETG 90%_3.txt","CF-PETG","Flat",90,3,4.89361947444954,0.999840336395445,351,TRUE,"Valid"
"CF PETG 90%_4.txt","CF-PETG","Flat",90,4,5.20817265127334,0.999113289941479,34,TRUE,"Valid"
"CF PETG 90%_5.txt","CF-PETG","Flat",90,5,5.78821167558429,0.99824258522456,392,TRUE,"Valid"
"CF PETG 100%_1.txt","CF-PETG","Flat",100,1,5.13419733170601,0.999909941173615,36,TRUE,"Valid"
"CF PETG 100%_2.txt","CF-PETG","Flat",100,2,5.07370928018274,0.999965690921001,358,TRUE,"Valid"
"CF PETG 100%_3.txt","CF-PETG","Flat",100,3,5.34610480643939,0.999740598764282,367,TRUE,"Valid"
"CF PETG 100%_4.txt","CF-PETG","Flat",100,4,5.11646288251602,0.999882021485662,355,TRUE,"Valid"
"CF PETG 100%_5.txt","CF-PETG","Flat",100,5,5.22917499376774,0.999356881235591,358,TRUE,"Valid"
"CF PETG 110%_1.txt","CF-PETG","Flat",110,1,4.96163914040887,0.995822821489485,336,TRUE,"Valid"
"CF PETG 110%_2.txt","CF-PETG","Flat",110,2,4.58148498632685,0.998022952134266,337,TRUE,"Valid"
"CF PETG 110%_3.txt","CF-PETG","Flat",110,3,4.98835310953666,0.999531206648033,351,TRUE,"Valid"
"CF PETG 110%_4.txt","CF-PETG","Flat",110,4,5.29901337905536,0.999876204949685,361,TRUE,"Valid"
"CF PETG 110%_5.txt","CF-PETG","Flat",110,5,5.23432259217985,0.999574533997221,361,TRUE,"Valid"
"S2 CF PETG80%_1.txt","CF-PETG","On-edge",80,1,6.06760843710864,0.999463258736086,363,TRUE,"Valid"
"S2 CF PETG80%_2.txt","CF-PETG","On-edge",80,2,5.26043802735382,0.99491462017979,341,TRUE,"Valid"
"S2 CF PETG80%_3.txt","CF-PETG","On-edge",80,3,6.12669062915369,0.99958128882559,375,TRUE,"Valid"
"S2 CF PETG80%_4.txt","CF-PETG","On-edge",80,4,5.82822924254806,0.999238274722578,370,TRUE,"Valid"
"S2 CF PETG80%_5.txt","CF-PETG","On-edge",80,5,5.81255261160337,0.999528723442497,362,TRUE,"Valid"
"S2 CF PETG90%_1.txt","CF-PETG","On-edge",90,1,6.42982377755278,0.999874565140779,369,TRUE,"Valid"
"S2 CF PETG90%_2.txt","CF-PETG","On-edge",90,2,6.23722978824816,0.999774373735409,374,TRUE,"Valid"
"S2 CF PETG90%_3.txt","CF-PETG","On-edge",90,3,6.66595634711347,0.999777861685755,370,TRUE,"Valid"
"S2 CF PETG90%_4.txt","CF-PETG","On-edge",90,4,6.30630314428614,0.99958875231482,376,TRUE,"Valid"
"S2 CF PETG90%_5.txt","CF-PETG","On-edge",90,5,6.20748188222028,0.989643259503817,397,TRUE,"Valid"
"S2 CF PETG100%_1.txt","CF-PETG","On-edge",100,1,5.87178785323063,0.999527741171527,353,TRUE,"Valid"
"S2 CF PETG100%_2.txt","CF-PETG","On-edge",100,2,6.71242355405516,0.999925380228788,370,TRUE,"Valid"
"S2 CF PETG100%_3.txt","CF-PETG","On-edge",100,3,6.3106918425428,0.981143634323728,405,TRUE,"Valid"
"S2 CF PETG100%_4.txt","CF-PETG","On-edge",100,4,6.30463128968233,0.99808939492423,358,TRUE,"Valid"
"S2 CF PETG100%_5.txt","CF-PETG","On-edge",100,5,6.50877545623061,0.998755406444911,360,TRUE,"Valid"
"S2 CF PETG110%_1.txt","CF-PETG","On-edge",110,1,6.4386298767652,0.999771239841137,362,TRUE,"Valid"
"S2 CF PETG110%_2.txt","CF-PETG","On-edge",110,2,6.55059619671949,0.998801319831377,376,TRUE,"Valid"
"S2 CF PETG110%_3.txt","CF-PETG","On-edge",110,3,7.16763035317666,0.999819194417741,380,TRUE,"Valid"
"S2 CF PETG110%_4.txt","CF-PETG","On-edge",110,4,6.45299615629929,0.999686012744093,378,TRUE,"Valid"
"S2 CF PETG110%_5.txt","CF-PETG","On-edge",110,5,6.14740311534498,0.999519682802625,365,TRUE,"Valid"
"PETG 80%_1.txt","PETG","Flat",80,1,2.03530324586729,0.999602214250037,335,TRUE,"Valid"
"PETG 80%_2.txt","PETG","Flat",80,2,2.00448288326878,0.999471411233907,329,TRUE,"Valid"
"PETG 80%_3.txt","PETG","Flat",80,3,1.95487857532588,0.999505740429375,324,TRUE,"Valid"
"PETG 80%_4.txt","PETG","Flat",80,4,1.86148551178228,0.999983303513911,343,TRUE,"Valid"
"PETG 80%_5.txt","PETG","Flat",80,5,2.40072254862981,0.990984935706359,380,TRUE,"Valid"
