"Material","Orientation","K","n","Mean_E_GPa","SD_E_GPa"
"CF-PETG","Flat",80,5,4.85650453809527,0.434823750773139
"CF-PETG","Flat",90,5,5.10470553300243,0.432578055043422
"CF-PETG","Flat",100,5,5.17992985892238,0.108905382070591
"CF-PETG","Flat",110,5,5.01296264150152,0.282947852952793
"CF-PETG","On-edge",80,5,5.81910378955352,0.342271036399071
"CF-PETG","On-edge",90,5,6.36935898788417,0.186590692719316
"CF-PETG","On-edge",100,5,6.3416619991483,0.311650114383317
"CF-PETG","On-edge",110,5,6.55145113966112,0.375950256403706
"PETG","Flat",80,5,2.05137455297481,0.206076720747133
"PETG","Flat",90,5,2.06238548657025,0.162542162072842
"PETG","Flat",100,5,2.19179953096483,0.0785413358110394
"PETG","Flat",110,5,2.20703210492725,0.199521725825265
"PETG","On-edge",80,5,1.9324189692376,0.19772159864325
"PETG","On-edge",90,5,2.01200972457373,0.192997933929865
"PETG","On-edge",100,5,2.06207326704541,0.158184945531564
"PETG","On-edge",110,4,2.16345384692562,0.193259938376658
