"File","Material","Orientation","K","Sample","Fmax_N","Thickness_mm","Width_mm","Area_mm2","UTS_MPa","Valid_Load"
"CF PETG 80%_1.txt","CF-PETG","Flat",80,1,491.62,1.985,4.187,8.311195,59.1515419864412,TRUE
"CF PETG 80%_2.txt","CF-PETG","Flat",80,2,571.71,1.982,4.181,8.286742,68.9909255048607,TRUE
"CF PETG 80%_3.txt","CF-PETG","Flat",80,3,525.02,1.995,4.194,8.36703,62.7486694800903,TRUE
"CF PETG 80%_4.txt","CF-PETG","Flat",80,4,527.08,1.992,4.188,8.342496,63.1801321810643,TRUE
"CF PETG 80%_5.txt","CF-PETG","Flat",80,5,557.86,1.987,4.184,8.313608,67.1020331966578,TRUE
"CF PETG 90%_1.txt","CF-PETG","Flat",90,1,530.79,2.037,4.163,8.480031,62.5929315588587,TRUE
"CF PETG 90%_2.txt","CF-PETG","Flat",90,2,546.41,2.031,4.156,8.440836,64.734109275432,TRUE
"CF PETG 90%_3.txt","CF-PETG","Flat",90,3,492.16,2.043,4.171,8.521353,57.756086386751,TRUE
"CF PETG 90%_4.txt","CF-PETG","Flat",90,4,503.23,2.034,4.165,8.47161,59.4019318641911,TRUE
"CF PETG 90%_5.txt","CF-PETG","Flat",90,5,548.09,2.037,4.162,8.477994,64.6485477578776,TRUE
"CF PETG 100%_1.txt","CF-PETG","Flat",100,1,575.27,2.111,4.251,8.973861,64.1050713845467,TRUE
"CF PETG 100%_2.txt","CF-PETG","Flat",100,2,582.45,2.104,4.242,8.925168,65.2592757917834,TRUE
"CF PETG 100%_3.txt","CF-PETG","Flat",100,3,431.62,2.115,4.261,9.012015,47.8938395020425,TRUE
"CF PETG 100%_4.txt","CF-PETG","Flat",100,4,507.3,2.11,4.25,8.9675,56.5709506551436,TRUE
"CF PETG 100%_5.txt","CF-PETG","Flat",100,5,531.23,2.113,4.253,8.986589,59.1136414494977,TRUE
"CF PETG 110%_1.txt","CF-PETG","Flat",110,1,557.82,2.126,4.285,9.10991,61.2322185400295,TRUE
"CF PETG 110%_2.txt","CF-PETG","Flat",110,2,603.41,2.119,4.277,9.062963,66.5797708762576,TRUE
"CF PETG 110%_3.txt","CF-PETG","Flat",110,3,604.54,2.134,4.292,9.159128,66.00409995362,TRUE
"CF PETG 110%_4.txt","CF-PETG","Flat",110,4,637.02,2.123,4.284,9.094932,70.0412053658015,TRUE
"CF PETG 110%_5.txt","CF-PETG","Flat",110,5,557.9,2.13,4.287,9.13131,61.0974767037807,TRUE
"S2 CFPETG80%_1.txt","CF-PETG","On-edge",80,1,501.87,1.99,4.191,8.34009,60.1756096157236,TRUE
"S2 CFPETG80%_2.txt","CF-PETG","On-edge",80,2,489.81,1.985,4.185,8.307225,58.9619277195453,TRUE
"S2 CFPETG80%_3.txt","CF-PETG","On-edge",80,3,522.93,1.997,4.202,8.391394,62.3174171061447,TRUE
"S2 CFPETG80%_4.txt","CF-PETG","On-edge",80,4,519.68,1.992,4.194,8.354448,62.2039900182514,TRUE
"S2 CFPETG80%_5.txt","CF-PETG","On-edge",80,5,465.87,1.987,4.188,8.321556,55.9835203896964,TRUE
"S2 CFPETG90%_1.txt","CF-PETG","On-edge",90,1,560.56,2.036,4.15,8.4494,66.3431722962577,TRUE
"S2 CFPETG90%_2.txt","CF-PETG","On-edge",90,2,515.82,2.031,4.142,8.412402,61.3166132574263,TRUE
"S2 CFPETG90%_3.txt","CF-PETG","On-edge",90,3,522,2.043,4.158,8.494794,61.4494006564491,TRUE
"S2 CFPETG90%_4.txt","CF-PETG","On-edge",90,4,650.81,2.034,4.155,8.45127,77.0073610238461,TRUE
"S2 CFPETG90%_5.txt","CF-PETG","On-edge",90,5,591.62,2.036,4.147,8.443292,70.0698258451798,TRUE
"S2 CFPETG100%_1.txt","CF-PETG","On-edge",100,1,597.39,2.111,4.251,8.973861,66.5700081603671,TRUE
"S2 CFPETG100%_2.txt","CF-PETG","On-edge",100,2,620.23,2.104,4.242,8.925168,69.49224933357,TRUE
"S2 CFPETG100%_3.txt","CF-PETG","On-edge",100,3,627.87,2.115,4.261,9.012015,69.6703234515255,TRUE
"S2 CFPETG100%_4.txt","CF-PETG","On-edge",100,4,646.9,2.11,4.25,8.9675,72.1382771117926,TRUE
"S2 CFPETG100%_5.txt","CF-PETG","On-edge",100,5,552.7,2.113,4.253,8.986589,61.5027570527594,TRUE
"S2 CFPETG110%_1.txt","CF-PETG","On-edge",110,1,712.61,2.126,4.285,9.10991,78.2236048435166,TRUE
"S2 CFPETG110%_2.txt","CF-PETG","On-edge",110,2,688.18,2.119,4.277,9.062963,75.9332240460432,TRUE
"S2 CFPETG110%_3.txt","CF-PETG","On-edge",110,3,644.25,2.134,4.292,9.159128,70.3396655227441,TRUE
"S2 CFPETG110%_4.txt","CF-PETG","On-edge",110,4,682.81,2.123,4.284,9.094932,75.0758774227229,TRUE
"S2 CFPETG110%_5.txt","CF-PETG","On-edge",110,5,666.46,2.13,4.287,9.13131,72.9862418426272,TRUE
"PETG 80%_1.txt","PETG","Flat",80,1,500.1,1.917,4.12,7.89804,63.3195071182217,TRUE
"PETG 80%_2.txt","PETG","Flat",80,2,472.68,1.91,4.112,7.85392,60.1839590930389,TRUE
"PETG 80%_3.txt","PETG","Flat",80,3,511.01,1.924,4.128,7.942272,64.3405312736708,TRUE
"PETG 80%_4.txt","PETG","Flat",80,4,472.13,1.917,4.118,7.894206,59.8071547664198,TRUE
"PETG 80%_5.txt","PETG","Flat",80,5,493.09,1.916,4.121,7.895836,62.4493720487609,TRUE
"PETG 90%_1.txt","PETG","Flat",90,1,487.93,1.918,4.195,8.04601,60.6424799372608,TRUE
"PETG 90%_2.txt","PETG","Flat",90,2,474.91,1.912,4.186,8.003632,59.3368110877662,TRUE
"PETG 90%_3.txt","PETG","Flat",90,3,486.74,1.926,4.203,8.094978,60.128637780115,TRUE
"PETG 90%_4.txt","PETG","Flat",90,4,506.9,1.916,4.196,8.039536,63.0509024401408,TRUE
"PETG 90%_5.txt","PETG","Flat",90,5,504.62,1.922,4.194,8.060868,62.6011987790893,TRUE
"PETG 100%_1.txt","PETG","Flat",100,1,515.58,1.932,4.252,8.214864,62.7618424358578,TRUE
"PETG 100%_2.txt","PETG","Flat",100,2,488.52,1.924,4.243,8.163532,59.8417449701918,TRUE
"PETG 100%_3.txt","PETG","Flat",100,3,463.62,1.938,4.261,8.257818,56.1431603360597,TRUE
"PETG 100%_4.txt","PETG","Flat",100,4,502.11,1.931,4.255,8.216405,61.1106682302053,TRUE
"PETG 100%_5.txt","PETG","Flat",100,5,488.32,1.933,4.253,8.221049,59.3987458291515,TRUE
"PETG 110%_1.txt","PETG","Flat",110,1,540.52,1.949,4.202,8.189698,65.9999916968855,TRUE
"PETG 110%_2.txt","PETG","Flat",110,2,471.97,1.942,4.195,8.14669,57.9339584542925,TRUE
"PETG 110%_3.txt","PETG","Flat",110,3,473.58,1.956,4.213,8.240628,57.4689210579582,TRUE
"PETG 110%_4.txt","PETG","Flat",110,4,427.96,1.947,4.206,8.189082,52.2598259487449,TRUE
"PETG 110%_5.txt","PETG","Flat",110,5,528.91,1.95,4.203,8.19585,64.5338799514388,TRUE
"S2 PETG80%_1.txt","PETG","On-edge",80,1,403.03,1.917,4.12,7.89804,51.0291160844969,TRUE
"S2 PETG80%_2.txt","PETG","On-edge",80,2,409.75,1.91,4.112,7.85392,52.1713997596105,TRUE
"S2 PETG80%_3.txt","PETG","On-edge",80,3,407.47,1.924,4.128,7.942272,51.3039593708198,TRUE
"S2 PETG80%_4.txt","PETG","On-edge",80,4,441.83,1.917,4.118,7.894206,55.9688966819462,TRUE
"S2 PETG80%_5.txt","PETG","On-edge",80,5,462.62,1.916,4.121,7.895836,58.5903759905854,TRUE
"S2 PETG90%_1.txt","PETG","On-edge",90,1,411.75,1.918,4.195,8.04601,51.1744330419674,TRUE
"S2 PETG90%_2.txt","PETG","On-edge",90,2,429.21,1.912,4.186,8.003632,53.6269033858628,TRUE
"S2 PETG90%_3.txt","PETG","On-edge",90,3,453.24,1.926,4.203,8.094978,55.9902695226596,TRUE
"S2 PETG90%_4.txt","PETG","On-edge",90,4,458.15,1.916,4.196,8.039536,56.9871196546666,TRUE
"S2 PETG90%_5.txt","PETG","On-edge",90,5,413.49,1.922,4.194,8.060868,51.2959646529381,TRUE
"S2 PETG100%_1.txt","PETG","On-edge",100,1,393.25,1.932,4.252,8.214864,47.8705429572541,TRUE
"S2 PETG100%_2.txt","PETG","On-edge",100,2,413.99,1.924,4.243,8.163532,50.7121182350973,TRUE
"S2 PETG100%_3.txt","PETG","On-edge",100,3,475.84,1.938,4.261,8.257818,57.6229701356944,TRUE
"S2 PETG100%_4.txt","PETG","On-edge",100,4,462.6,1.931,4.255,8.216405,56.3019958242078,TRUE
"S2 PETG100%_5.txt","PETG","On-edge",100,5,483.38,1.933,4.253,8.221049,58.7978492768988,TRUE
"S2 PETG110%_1.txt","PETG","On-edge",110,1,435.07,1.949,4.202,8.189698,53.1240590312366,TRUE
"S2 PETG110%_2.txt","PETG","On-edge",110,2,448.6,1.942,4.195,8.14669,55.0653087327491,TRUE
"S2 PETG110%_3.txt","PETG","On-edge",110,3,487.14,1.956,4.213,8.240628,59.1144267160221,TRUE
"S2 PETG110%_4.txt","PETG","On-edge",110,4,444.68,1.947,4.206,8.189082,54.3015688449572,TRUE
"S2 PETG110%_5.txt","PETG","On-edge",110,5,486.91,1.95,4.203,8.19585,59.4093352123331,TRUE
