"Material","Orientation","K","n","Mean_UTS_MPa","SD_UTS_MPa"
"CF-PETG","Flat",80,5,64.2346604698228,3.87305357849511
"CF-PETG","Flat",90,5,61.8267213686221,3.1405556818745
"CF-PETG","Flat",100,5,58.5885557566028,6.9579783622289
"CF-PETG","Flat",110,5,64.9909542878979,3.81913276679444
"CF-PETG","On-edge",80,5,59.9284929698723,2.61930186424661
"CF-PETG","On-edge",90,5,67.2372746158318,6.57326155221726
"CF-PETG","On-edge",100,5,67.8747230220029,4.07193740530987
"CF-PETG","On-edge",110,5,74.5117227355308,2.99375009861518
"PETG","Flat",80,5,62.0201048600224,1.97013163795502
"PETG","Flat",90,5,61.1520060048744,1.60528808106402
"PETG","Flat",100,5,59.8512323602932,2.45012560549137
"PETG","Flat",110,5,59.639315421864,5.62340385299215
"PETG","On-edge",80,5,53.8127495774918,3.32458107993368
"PETG","On-edge",90,5,53.8149380516189,2.65271812752489
"PETG","On-edge",100,5,54.2610952858305,4.72979945293867
"PETG","On-edge",110,5,56.2029397074596,2.87865638556057
